epoch,,epoch time,acc,loss,val_acc,val_loss
0,0,91.79977298,0.104326923,2.904195293,0.1044,2.441775397
1,1,88.37808204,0.103625281,2.665006896,0.1501,2.536999055
2,2,91.62627578,0.132759865,2.554006063,0.1628,2.313255716
3,3,87.72402596,0.214689605,2.31820938,0.247,2.154398644
4,4,89.41006088,0.248435996,2.200916654,0.2746,2.118557085
5,5,86.41557813,0.290423484,2.114007805,0.3237,1.871527515
6,6,86.61094308,0.226158967,2.663036839,0.1693,2.899766246
7,7,87.41009998,0.241899262,2.231403171,0.3173,2.074372129
8,8,85.04400396,0.32168351,1.906607246,0.363,1.765759821
9,9,85.74269104,0.365575874,1.73309389,0.3799,1.753277059
10,10,85.49179912,0.397778312,1.645505063,0.4194,1.585454287
11,11,86.46263504,0.417428617,1.585971087,0.4505,1.513091586
12,12,85.35840416,0.44517966,1.516840339,0.4734,1.500656542
13,13,84.87591004,0.47349214,1.453337027,0.4939,1.393905912
14,14,85.37518716,0.492260186,1.398111911,0.4869,1.388167114
15,15,85.15937614,0.513695059,1.339875159,0.5407,1.271027353
16,16,84.69313407,0.535891883,1.28849278,0.5627,1.225837355
17,17,85.08908701,0.55979307,1.228024347,0.5844,1.149962066
18,18,83.78915,0.576014597,1.178034639,0.5998,1.125155466
19,19,84.80032611,0.598010908,1.125204749,0.6177,1.080031988
20,20,85.03294086,0.615636028,1.073866132,0.637,1.029720147
21,21,85.68441582,0.637592236,1.020828515,0.6505,1.007819569
22,22,85.07307506,0.657322746,0.967445909,0.678,0.913588459
23,23,89.57953405,0.676271254,0.912614803,0.6913,0.873645149
24,24,92.07379985,0.693334937,0.862687028,0.6819,0.957062816
25,25,92.21913195,0.708654155,0.826014743,0.7169,0.810583606
26,26,92.12236094,0.722710138,0.785432221,0.7211,0.79192006
27,27,91.49253201,0.73750802,0.743546814,0.7355,0.791606591
28,28,86.352036,0.746290504,0.717881067,0.744,0.732834745
29,29,88.14744306,0.756857555,0.692500292,0.7558,0.70744713
30,30,88.60773706,0.770953641,0.655752107,0.7734,0.661125382
31,31,87.90212512,0.777811197,0.63365313,0.7619,0.690962194
32,32,86.28393507,0.78448829,0.611659822,0.7717,0.661802902
33,33,85.29839087,0.792328361,0.593991921,0.7843,0.626594688
34,34,86.23396516,0.798403914,0.568887859,0.7895,0.622614217
35,35,89.00758815,0.806143728,0.554219784,0.784,0.638356724
36,36,90.71523595,0.814505133,0.529772004,0.799,0.588112611
37,37,87.00139308,0.817111806,0.519275572,0.8004,0.590483685
38,38,85.12344003,0.823087103,0.501818655,0.7862,0.62274393
39,39,85.70903015,0.829944658,0.482761807,0.8058,0.568575733
40,40,86.84069204,0.833834617,0.470985023,0.8081,0.5711756
41,41,86.70398808,0.840952839,0.457198779,0.8107,0.560152095
42,42,86.55798483,0.844782644,0.43935488,0.8011,0.605880734
43,43,86.45360088,0.848472089,0.427842387,0.8161,0.547434965
