epoch,e,epoch time,acc,loss,val_acc,val_loss
0,0,85.51612592,0.20869391,2.395206793,0.2979,1.957610391
1,1,81.57507801,0.269991177,2.12453894,0.3367,1.939820856
2,2,84.82628202,0.341213507,1.884919562,0.4094,1.85146804
3,3,86.10461998,0.381416426,1.867767132,0.4266,1.655196441
4,4,87.09358692,0.436878409,1.656645478,0.4581,1.521481176
5,5,88.10067487,0.393166506,1.775876958,0.3815,1.6893767
6,6,91.20863605,0.426451716,1.558416274,0.4853,1.413397923
7,7,95.70311022,0.496651428,1.383349309,0.5203,1.407677065
8,8,92.32308888,0.538037376,1.273888372,0.5813,1.17765028
9,9,90.43256187,0.581969843,1.165337968,0.5962,1.132634682
10,10,90.19038701,0.625822105,1.055178159,0.6476,1.014876937
11,11,89.98294115,0.66129291,0.957246692,0.6929,0.87363866
12,12,91.63881779,0.68629692,0.878448995,0.7057,0.851864237
13,13,88.17595887,0.713887552,0.813952443,0.714,0.832623574
14,14,85.13263488,0.729527591,0.764825668,0.744,0.745908815
15,15,82.39803195,0.749558871,0.718184138,0.7608,0.688137907
16,16,82.74746704,0.765399422,0.666537362,0.7585,0.702983878
17,17,91.25461912,0.782503208,0.618277089,0.7844,0.620135908
18,18,112.376219,0.796318576,0.581220668,0.782,0.619059911
19,19,88.20272088,0.810875842,0.537912074,0.8002,0.587419543
20,20,87.08895206,0.821182227,0.504727506,0.7955,0.619193902
21,21,91.00880098,0.835258261,0.47221881,0.8195,0.540708165
22,22,86.48260999,0.845424286,0.446224122,0.8165,0.546870901
23,23,89.20831108,0.849354347,0.430997855,0.8336,0.496375566
24,24,85.1440661,0.859861245,0.401054766,0.8365,0.492624071
25,25,84.80280685,0.868503369,0.375970599,0.8388,0.489101017
26,26,83.19737601,0.875802053,0.356594353,0.8431,0.479804767
27,27,87.84815216,0.880834937,0.338286111,0.8456,0.476623
28,28,88.67923188,0.885667308,0.323161363,0.8522,0.467528246
29,29,89.51395702,0.893888354,0.302668918,0.8551,0.444762864
30,30,84.36409187,0.900806064,0.282915067,0.8555,0.44494209
31,31,94.25716996,0.902470324,0.273950309,0.8554,0.462590178
32,32,93.10014105,0.910190087,0.255196253,0.8676,0.407544556
33,33,93.56521392,0.913157684,0.244043917,0.8647,0.440226194
34,34,93.20479989,0.916506256,0.233949361,0.8673,0.420013146
35,35,91.04152513,0.924566891,0.214930482,0.8744,0.397488959
36,36,87.810637,0.926130895,0.206289619,0.8698,0.434068736
37,37,82.9631381,0.928276388,0.201114906,0.8641,0.449009356
38,38,83.90313697,0.933650144,0.1850517,0.8603,0.466224476
39,39,93.287467,0.936096407,0.178160677,0.8719,0.453614138
40,40,92.74750495,0.94171078,0.164416076,0.8727,0.445480229
41,41,95.08332586,0.943595605,0.157755651,0.8751,0.428609431
42,42,93.66727209,0.946924126,0.150728813,0.8796,0.434099612
43,43,92.37867093,0.947726179,0.145022896,0.8725,0.474494041
44,44,92.92806005,0.950553417,0.138726723,0.8767,0.44590993
45,45,91.53506494,0.95466394,0.124318076,0.8746,0.489605328
46,46,92.57955623,0.956247995,0.1207401,0.8701,0.469832046
47,47,87.85835505,0.956729227,0.120679722,0.8752,0.451647346
48,48,84.15813804,0.960017645,0.110445177,0.8768,0.458885469
49,49,82.80847883,0.962303497,0.106364262,0.8736,0.466008238
50,50,289.8959081,0.964629451,0.098923101,0.8776,0.467915311
51,51,92.24691892,0.964027911,0.098706358,0.8819,0.464124834
52,52,90.14895201,0.968719923,0.087908612,0.8804,0.502333805
53,53,91.05355096,0.967897818,0.090978371,0.8832,0.481805856
54,54,89.97144485,0.970865415,0.081406276,0.8866,0.492290807
55,55,91.35753798,0.971286493,0.080979964,0.887,0.484144112
56,56,91.41567898,0.972549727,0.078470773,0.8845,0.500690075
57,57,94.5963819,0.974033526,0.073177257,0.8816,0.512728187
58,58,89.22882414,0.975437119,0.069307807,0.8835,0.520316745
59,59,87.41844893,0.975838146,0.067487213,0.8855,0.492510442
60,60,85.5921638,0.977021174,0.065223762,0.8804,0.585447915
61,61,82.79013395,0.979006256,0.05967275,0.8879,0.505068373
62,62,90.20593119,0.979487488,0.057008658,0.8907,0.489787742
63,63,94.55453396,0.981051492,0.055404251,0.8913,0.494024466
64,64,90.87560391,0.982334777,0.050525943,0.8843,0.524603786
65,65,89.31629419,0.981753288,0.050919657,0.888,0.516081171
66,66,83.08605695,0.982254572,0.050274638,0.8904,0.51805812
67,67,90.77397394,0.983317292,0.047773786,0.8849,0.547938631
68,68,86.12816787,0.983357395,0.046837503,0.8839,0.572700627
69,69,86.0757401,0.982816009,0.049591282,0.889,0.543600271
70,70,84.91985798,0.985202117,0.043341707,0.8896,0.578132049
71,71,85.55416417,0.984821142,0.042877101,0.8928,0.545484513
72,72,85.16739202,0.985723452,0.039626659,0.8884,0.571662625
73,73,82.82158089,0.986004171,0.040895017,0.8934,0.516513563
74,74,85.74516106,0.986946583,0.037887457,0.8864,0.585600507
75,75,89.87122488,0.986685916,0.038814937,0.8952,0.512197952
76,76,88.00498605,0.988891562,0.032938063,0.8814,0.603245553
77,77,90.60781097,0.987728585,0.035195914,0.8918,0.578462288
78,78,92.07803297,0.988310074,0.034930755,0.8895,0.541731757
79,79,90.32103586,0.989192332,0.032466937,0.8931,0.549889269
80,80,91.67942882,0.989874078,0.0285927,0.8893,0.577076247
81,81,88.01177216,0.989232435,0.031468849,0.8881,0.584240354
